"Anastatoodera","zapiolai","!","Blanchard","Anastatoodera","zapiolai","","Blanchard","",""
"Anastatus","fulloi","","Sheng & Wang","Anastatus","fulloi","","Sheng & Wang","1997","1997"
"Anastatus","furnissi","","Burks","Anastatus","furnissi","","Burks","1967","1967"
"Anastatus","gemmarii","","(Ashmead)","Anastatus","gemmarii","","(Ashmead)","1886","1886"
"Anastatus","gemmarii","","(Ashmead)","Eupelmus","gemmarii","","Ashmead","1886","1886"
"Anastatus","gibboni","","Girault","Anastatus","gibboni","","Girault","1920","1920"
"Anastatus","giottini","","(Girault)","Anastatus","giottini","","(Girault)","1922","1922"
"Anastatus","giottini","","(Girault)","Eupelmus","giottini","","Girault","1922","1922"
"Anastatus","giraudi","","(Ruschka)","Anastatus","dolichopterus","","Bolivar y Pieltain","1921","1935"
"Anastatus","giraudi","","(Ruschka)","Anastatus","giraudi","","(Ruschka)","1921","1921"
"Anastatus","giraudi","","(Ruschka)","Eupelmus","giraudi","","Ruschka","1921","1921"
"Anastatus","giraulti","!","","Anastatus","giraulti","","","",""
"Anastatus","goethei","","(Girault)","Anastatus","goethei","","(Girault)","1929","1929"
"Anastatus","goethei","","(Girault)","Parooderella","goethei","","Girault","1929","1929"
"Anastatus","gratidiae","","Risbec","Anastatus","gratidiae","","Risbec","1951","1951"
"Anastatus","halyomorphae","","(Risbec)","Vignalia","halyomorphae","","Risbec","1951","1951"
"Anastatus","hayati","","Narendran","Anastatus","hayati","","Narendran","2009","2009"
"Anastatus","hemipterae","","(Risbec)","Anastatus","hemipterae","","(Risbec)","1951","1951"
"Anastatus","hemipterae","","(Risbec)","Paravignalia","hemipterae","","Risbec","1951","1951"
"Anastatus","hemipterus","","(Girault)","Anastatus","hemipterus","","(Girault)","1913","1913"
"Anastatus","hemipterus","","(Girault)","Parasolindenia","hemiptera","","Girault","1913","1913"
"Anastatus","hemipterus","","(Girault)","Parooderella","hemiptera","","(Girault)","1913","1913"
"Anastatus","hirtus","","(Ashmead)","Anastatus","hirtus","","(Ashmead)","1885","1885"
"Anastatus","hirtus","","(Ashmead)","Eupelmus","hirtus","","Ashmead","1885","1885"
"Anastatus","huangi","","Sheng & Yu","Anastatus","huangi","","Sheng & Yu","1998","1998"
"Anastatus","interruptus","","Nikol'skaya","Anastatus","interruptus","","Nikol'skaya","1952","1952"
"Anastatus","japonicus","","Ashmead","Anastatus","bifasciatus","disparis","Ruschka","1904","1921"
"Anastatus","japonicus","","Ashmead","Anastatus","disparis","","Ruschka","1904","1921"
"Anastatus","japonicus","","Ashmead","Anastatus","japonicus","","Ashmead","1904","1904"
"Anastatus","kashmirensis","","Mathur","Anastatus","kashmirensis","","Mathur","1956","1956"
"Anastatus","koebelei","","Ashmead","Anastatus","koebelei","","Ashmead","1901","1901"
"Anastatus","latheefi","","Narendran","Anastatus","latheefi","","Narendran","2009","2009"
"Anastatus","leithi","","(Walker)","Anastatus","leithi","","(Walker)","1872","1872"
"Anastatus","leithi","","(Walker)","Eupelmus","leithi","","Walker","1872","1872"
"Anastatus","libratus","","Narendran","Anastatus","libratus","","Narendran","2009","2009"
"Anastatus","lichtensteini","","(Ruschka)","Anastatus","ameleophagus","","Bernard","1921","1935"
"Anastatus","lichtensteini","","(Ruschka)","Anastatus","lichtensteini","","(Ruschka)","1921","1921"
"Anastatus","lichtensteini","","(Ruschka)","Eupelmus","lichtensteini","","Ruschka","1921","1921"
"Anastatus","longicornis","","Abdul-Rassoul & Al-Sandouk","Anastatus","longicornis","","Abdul-Rassoul & Al-Sandouk","1999","1999"
"Anastatus","longipalpus","","Risbec","Anastatus","longipalpus","","Risbec","1951","1951"
"Anastatus","lutheri","","(Girault)","Anastatus","lutheri","","(Girault)","1934","1934"
"Anastatus","lutheri","","(Girault)","Parooderella","lutheri","","Girault","1934","1934"
"Anastatus","maculosus","","Askew","Anastatus","maculosus","","Askew","2004","2004"
"Anastatus","madagascariensis","","(Risbec)","Anastatus","madagascariensis","","(Risbec)","1952","1952"
"Anastatus","madagascariensis","","(Risbec)","Anastatus","umae","","Boucek","1952","1979"
"Anastatus","madagascariensis","","(Risbec)","Oodera","madagascariensis","","Risbec","1952","1952"
"Anastatus","madagascariensis","","(Risbec)","Ooderella","madagascariensis","","(Risbec)","1952","1952"
"Anastatus","magnoculus","","Askew","Anastatus","magnoculus","","Askew","2004","2004"
"Anastatus","mancus","","(Girault)","Anastatus","mancus","","(Girault)","1915","1915"
"Anastatus","mancus","","(Girault)","Parooderella","manca","","Girault","1915","1915"
"Anastatus","mantis","","(Ashmead)","Anastatus","mantis","","(Ashmead)","1885","1885"
"Anastatus","mantis","","(Ashmead)","Eupelmus","mantis","","Ashmead","1885","1885"
"Anastatus","mantoidae","","Motschulsky","Anastatus","mantoidae","","Motschulsky","1859","1859"
"Anastatus","mantoidae","","Motschulsky","Podagrion","mantoidae","","(Motschulsky)","1859","1859"
"Anastatus","masneri","","Gibson","Anastatus","masneri","","Gibson","1995","1995"
"Anastatus","maximus","","Girault","Anastatus","maximus","","Girault","1915","1915"
"Anastatus","meilingensis","","Sheng","Anastatus","meilingensis","","Sheng","1998","1998"
"Anastatus","meilingensis","","Sheng","Anastatus","meilinqensis","","Sheng","1998","1998"
"Anastatus","microcentri","","Gahan","Anastatus","microcentri","","Gahan","1922","1922"
"Anastatus","mirabilis","","(Walsh & Riley)","Anastatus","mirabilis","","(Walsh & Riley)","1869","1869"
"Anastatus","mirabilis","","(Walsh & Riley)","Antigaster","mirabilis","","Walsh","1869","1870"
"Anastatus","mirabilis","","(Walsh & Riley)","Antigaster","mirabilis","","Walsh & Riley","1869","1869"
"Anastatus","mirabilis","","(Walsh & Riley)","Eupelmus","mirabilis","","(Walsh & Riley)","1869","1869"
"Anastatus","mohanae","","Narendran","Anastatus","mohanae","","Narendran","2009","2009"
"Anastatus","myrmecobius","","FerriŠre","Anastatus","myrmecobius","","FerriŠre","1931","1931"
"Anastatus","nasonini","","(Girault)","Anastatus","nasonini","","(Girault)","1925","1925"
"Anastatus","nasonini","","(Girault)","Eupelmus","nasonini","","Girault","1925","1925"
"Anastatus","ochirasis","","Narendran","Anastatus","ochirasis","","Narendran","2009","2009"
"Anastatus","operosus","","Narendran","Anastatus","operosus","","Narendran","2009","2009"
"Anastatus","oscari","","(Ruthe)","Anastatus","budensis","","Erd”s","1859","1957"
"Anastatus","oscari","","(Ruthe)","Anastatus","dispar","","Masi","1859","1919"
"Anastatus","oscari","","(Ruthe)","Anastatus","oscari","","(Ruthe)","1859","1859"
"Anastatus","oscari","","(Ruthe)","Eupelmus","bifasciatellus","","Dalla Torre","1859","1898"
"Anastatus","oscari","","(Ruthe)","Eupelmus","bifasciatus","","Giraud","1859","1872"
"Anastatus","oscari","","(Ruthe)","Eupelmus","micropterus","","F”rster","1859","1860"
"Anastatus","oscari","","(Ruthe)","Eupelmus","oscari","","Ruthe","1859","1859"
"Anastatus","oscari","","(Ruthe)","Eupelmus","pezomachoides","","Walker","1859","1872"
"Anastatus","osmyli","","(Girault)","Anastatus","osmyli","","(Girault)","1927","1927"
"Anastatus","osmyli","","(Girault)","Eupelmus","osmyli","","Girault","1927","1927"
"Anastatus","ovicida","","(Risbec)","Anastatus","ovicida","","(Risbec)","1951","1951"
"Anastatus","ovicida","","(Risbec)","Macreupelmus","ovicida","","Risbec","1951","1951"
"Anastatus","pearsalli","","Ashmead","Anastatus","pearsalli","","Ashmead","1898","1898"
"Anastatus","pentatomidivorus","","Girault","Anastatus","pentatomidivora","","Girault","1915","1915"
"Anastatus","pentatomidivorus","","Girault","Anastatus","pentatomidivora","nonexcisus","Girault","1915","1915"
"Anastatus","pentatomidivorus","","Girault","Anastatus","pentatomidivorus","","Girault","1915","1915"
"Anastatus","phaeonotus","","Narendran","Anastatus","phaeonotus","","Narendran","2009","2009"
"Anastatus","phonoctoni","","Risbec","Anastatus","phonoctoni","","Risbec","1955","1955"
"Anastatus","picticornis","","(Cameron)","Solindenia","picticornis","","Cameron","1883","1883"
"Anastatus","piezosterni","","FerriŠre","Anastatus","piezosterni","","FerriŠre","1935","1935"
"Anastatus","pipunculi","","Perkins","Anastatus","pipunculi","","Perkins","1906","1906"
"Anastatus","platycleidis","","(Sarra)","Anastatus","platycleidis","","(Sarra)","1934","1934"
"Anastatus","platycleidis","","(Sarra)","Eupelmella","platycleidis","","Sarra","1934","1934"
"Anastatus","poggioni","","(Girault)","Anastatus","poggioni","","(Girault)","1922","1922"
"Anastatus","poggioni","","(Girault)","Eupelmus","poggioni","","Girault","1922","1922"
"Anastatus","pseudocreobotrae","","Risbec","Anastatus","apantelesi","pseudocreobotrae","Risbec","1951","1951"
"Anastatus","pseudocreobotrae","","Risbec","Anastatus","pseudocreobotrae","","Risbec","1951","1951"
"Anastatus","pseudocreobotrae","!","Risbec","Anastatus","apantelesi","pseudocreobotrae","Risbec","",""
"Anastatus","pulchripennis","","(Girault)","Anastatus","pulchripennis","","(Girault)","1911","1911"
"Anastatus","pulchripennis","","(Girault)","Paraguaya","pulchripennis","","Girault","1911","1911"
"Anastatus","punctiventris","","Ashmead","Anastatus","punctiventris","","Ashmead","1904","1904"
"Anastatus","quilonicus","","Narendran","Anastatus","quilonicus","","Narendran","2009","2009"
"Anastatus","racinei","","Girault","Anastatus","racinei","","Girault","1915","1915"
"Anastatus","racinei","","Girault","Anastatus","racinei","praecipuus","Girault","1915","1915"
"Anastatus","ramakrishnai","","(Mani)","Anastatus","dentatus","","Narayanan, Subba Rao & Ramachandra","1935","1960"
"Anastatus","ramakrishnai","","(Mani)","Anastatus","ramakrishnai","","(Mani)","1935","1935"
"Anastatus","ramakrishnai","","(Mani)","Neanastatus","ramakrishnai","","Mani","1935","1935"
"Anastatus","redini","","(Girault)","Anastatus","redini","","(Girault)","1925","1925"
"Anastatus","redini","","(Girault)","Eupelmus","redini","","Girault","1925","1925"
"Anastatus","redini","","(Girault)","Eupelmus","redini","argentilineus","Girault","1925","1929"
"Anastatus","reduvii","","(Howard)","Anastatus","pleuralis","","Ashmead","1880","1904"
"Anastatus","reduvii","","(Howard)","Anastatus","reduvii","","(Howard)","1880","1880"
"Anastatus","reduvii","","(Howard)","Eupelmus","reduvii","","Howard","1880","1880"
"Anastatus","risbeci","","™zdikmen","Anastatus","madagascariensis","","(Risbec)","2011","1952"
"Anastatus","risbeci","","™zdikmen","Anastatus","risbeci","","™zdikmen","2011","2011"
"Anastatus","risbeci","","™zdikmen","Metacalosoter","madagascariensis","","Risbec","2011","1952"
"Anastatus","ruficaudus","","FerriŠre","Anastatus","ruficaudus","","FerriŠre","1954","1954"
"Anastatus","ruficollis","","(Cameron)","Anastatus","ruficollis","","(Cameron)","1905","1905"
"Anastatus","ruficollis","","(Cameron)","Brasema","ruficollis","","Cameron","1905","1905"
"Anastatus","rufopostumus","","Narendran","Anastatus","rufopostumus","","Narednran","2009","2009"
"Anastatus","rutilus","","(Nikol'skaya)","Anastatus","rutilus","","(Nikol'skaya)","1952","1952"
"Anastatus","rutilus","","(Nikol'skaya)","Eupelmus","rutilus","","Nikol'skaya","1952","1952"
"Anastatus","rynchitidi","","Risbec","Anastatus","rynchitidi","","Risbec","1951","1951"
"Anastatus","saintpierrei","","Girault","Anastatus","saintpierrei","","Girault","1917","1917"
"Anastatus","scutellatus","","Gahan","Anastatus","scutellatus","","Gahan","1934","1934"
"Anastatus","semiflavidus","","Gahan","Anastatus","semiflavidus","","Gahan","1914","1914"
"Anastatus","semitectus","","(Girault)","Anastatus","semitectus","","(Girault)","1915","1915"
"Anastatus","semitectus","","(Girault)","Parooderella","semitecta","","Girault","1915","1915"
"Anastatus","shichengensis","","Sheng & Wang","Anastatus","shichengensis","","Sheng & Wang","1997","1997"
"Anastatus","sidereus","","(Erd”s)","Anastatimorpha","siderea","","Erd”s","1957","1957"
"Anastatus","sidereus","","(Erd”s)","Anastatus","sidereus","","(Erd”s)","1957","1957"
"Anastatus","simplicifrons","","(Girault)","Anastatus","simplicifrons","","(Girault)","1924","1924"
"Anastatus","simplicifrons","","(Girault)","Parooderella","simplicifrons","","Girault","1924","1924"
"Anastatus","sirphidi","","(Risbec)","Anastatus","sirphidi","","(Risbec)","1951","1951"
"Anastatus","sirphidi","","(Risbec)","Eupelmus","sirphidi","","Risbec","1951","1951"
"Anastatus","splendens","","Nikol'skaya","Anastatus","splendens","","Nikol'skaya","1952","1952"
"Anastatus","stantoni","","Ashmead","Anastatus","stantoni","","Ashmead","1904","1904"
"Anastatus","temporalis","","Askew","Anastatus","temporalis","","Askew","2005","2005"
"Anastatus","tenuipes","","Bolivar y Pieltain","Anastatus","blattidarum","","FerriŠre","1925","1930"
"Anastatus","tenuipes","","Bolivar y Pieltain","Anastatus","tenuipes","","Bolivar y Pieltain","1925","1925"
"Anastatus","tenuipes","","Bolivar y Pieltain","Anastatus","wanei","","Risbec","1925","1951"
"Anastatus","tenuipes","","Bolivar y Pieltain","Solindenia","blattiphaga","","Mani","1925","1936"
"Anastatus","tenuipes","","Bolivar y Pieltain","Solindenia","blattiphagus","","Mani","1925","1936"
"Anastatus","thoreauini","","Girault","Anastatus","thoreauini","","Girault","1917","1917"
"Anastatus","unifasciatus","","Ashmead","Anastatus","unifasciatus","","Ashmead","1904","1904"
"Anastatus","urichi","","(Waterston)","Anastatus","urichi","","(Waterston)","1922","1922"
"Anastatus","urichi","","(Waterston)","Eupelmus","urichi","","Waterston","1922","1922"
"Anastatus","uromeni","","FerriŠre","Anastatus","uromeni","","FerriŠre","1968","1968"
"Anastatus","viridicaput","","Gahan","Anastatus","viridicaput","","Gahan","1934","1934"
"Anastatus","viridiceps","","Waterston","Anastatus","viridiceps","","Waterston","1915","1915"
"Anastatus","yasumatsui","","Shafee","Anastatus","yasumatsui","","Shafee","1973","1973"
"Anastatus","zeli","","(Ashmead)","Anastatus","zeli","","(Ashmead)","1886","1886"
"Anastatus","zeli","","(Ashmead)","Eupelmus","zeli","","Ashmead","1886","1886"
"Arachnophaga","abstrusa","","Gahan","Arachnophaga","abstrusa","","Gahan","1943","1943"
"Arachnophaga","adjunctus","","(Gahan)","Encyrtaspis","adjunctus","","Gahan","1943","1943"
"Arachnophaga","albolinea","","Gahan","Arachnophaga","albolinea","","Gahan","1934","1934"
"Arachnophaga","aldrichi","","Gahan","Arachnophaga","aldrichi","","Gahan","1943","1943"
"Arachnophaga","algirica","","(FerriŠre)","Mercetina","algirica","","FerriŠre","1954","1954"
"Arachnophaga","annulicornis","","(Ashmead)","Arachnophaga","annulicornis","","(Ashmead)","1896","1896"
"Arachnophaga","annulicornis","","(Ashmead)","Idoleupelmus","annulicornis","","Ashmead","1896","1896"
"Arachnophaga","aptera","","(Brues)","Arachnophaga","aptera","","(Brues)","1907","1907"
"Arachnophaga","aptera","","(Brues)","Parasolindenia","aptera","","Brues","1907","1907"
"Arachnophaga","aureicorpus","","(Girault)","Anastatus","aureicorpus","","Girault","1916","1916"
"Arachnophaga","aureicorpus","","(Girault)","Arachnophaga","aureicorpus","","(Girault)","1916","1916"
"Arachnophaga","berlandi","","(FerriŠre)","Mercetina","berlandi","","FerriŠre","1954","1954"
"Arachnophaga","bouchelyna","","Gibson","Arachnophaga","bouchelyna","","Gibson","1995","1995"
"Arachnophaga","brasiliensis","","(Ashmead)","Arachnophaga","brasiliensis","","(Ashmead)","1904","1904"
"Arachnophaga","brasiliensis","","(Ashmead)","Encyrtaspis","brasiliensis","","Ashmead","1904","1904"
"Arachnophaga","californica","","(Ashmead)","Encyrtaspis","californica","","(Ashmead)","1896","1896"
"Arachnophaga","californica","","(Ashmead)","Encyrtaspis","californicus","","(Ashmead)","1896","1896"
"Arachnophaga","californica","","(Ashmead)","Tineobius","californicus","","Ashmead","1896","1896"
"Arachnophaga","costalis","","Gahan","Arachnophaga","costalis","","Gahan","1943","1943"
"Arachnophaga","entrerriana","","(De Santis)","Mercetina","entrerriana","","De Santis","1983","1983"
"Arachnophaga","eucnemia","","Gibson","Arachnophaga","eucnemia","","Gibson","1995","1995"
"Arachnophaga","ferruginea","","Gahan","Arachnophaga","ferruginea","","Gahan","1943","1943"
"Arachnophaga","frontalis","","Gahan","Arachnophaga","frontalis","","Gahan","1943","1943"
"Arachnophaga","halysidotae","","(BrŠthes)","Arachnophaga","halysidotae","","(BrŠthes)","1913","1913"
"Arachnophaga","halysidotae","","(BrŠthes)","Brasemopsis","halysidotae","","BrŠthes","1913","1913"
"Arachnophaga","hirtibasis","","Gahan","Arachnophaga","hirtibasis","","Gahan","1943","1943"
"Arachnophaga","laticeps","","(Brues)","Anastatus","laticeps","","Brues","1907","1907"
"Arachnophaga","laticeps","","(Brues)","Encyrtaspis","laticeps","","(Brues)","1907","1907"
"Arachnophaga","longicauda","","(FerriŠre)","Mercetina","longicauda","","FerriŠre","1954","1954"
"Arachnophaga","longiceps","","(Brues)","Anastatus","longiceps","","Brues","1907","1907"
"Arachnophaga","longiceps","","(Brues)","Arachnophaga","longiceps","","(Brues)","1907","1907"
